,Forecast
2023-03-14 00:00:00+00:00,71.85476
2023-03-15 00:00:00+00:00,71.876625
2023-03-16 00:00:00+00:00,71.89121
2023-03-17 00:00:00+00:00,71.89984
2023-03-20 00:00:00+00:00,71.903656
2023-03-21 00:00:00+00:00,71.90364
2023-03-22 00:00:00+00:00,71.90066
2023-03-23 00:00:00+00:00,71.89542
2023-03-24 00:00:00+00:00,71.88852
2023-03-27 00:00:00+00:00,71.88043
2023-03-28 00:00:00+00:00,71.87153
2023-03-29 00:00:00+00:00,71.86207
2023-03-30 00:00:00+00:00,71.852264
2023-03-31 00:00:00+00:00,71.84226
2023-04-03 00:00:00+00:00,71.83215
2023-04-04 00:00:00+00:00,71.822014
2023-04-05 00:00:00+00:00,71.81189
2023-04-06 00:00:00+00:00,71.801796
2023-04-07 00:00:00+00:00,71.791756
2023-04-10 00:00:00+00:00,71.78179
2023-04-11 00:00:00+00:00,71.77189
2023-04-12 00:00:00+00:00,71.76206
2023-04-13 00:00:00+00:00,71.752304
2023-04-14 00:00:00+00:00,71.742615
2023-04-17 00:00:00+00:00,71.733
2023-04-18 00:00:00+00:00,71.72345
2023-04-19 00:00:00+00:00,71.713974
2023-04-20 00:00:00+00:00,71.70455
2023-04-21 00:00:00+00:00,71.69521
2023-04-24 00:00:00+00:00,71.68593
2023-04-25 00:00:00+00:00,71.676704
2023-04-26 00:00:00+00:00,71.66756
2023-04-27 00:00:00+00:00,71.65846
2023-04-28 00:00:00+00:00,71.64944
2023-05-01 00:00:00+00:00,71.64047
2023-05-02 00:00:00+00:00,71.63158
2023-05-03 00:00:00+00:00,71.622734
2023-05-04 00:00:00+00:00,71.61396
2023-05-05 00:00:00+00:00,71.60525
2023-05-08 00:00:00+00:00,71.596596
2023-05-09 00:00:00+00:00,71.588005
2023-05-10 00:00:00+00:00,71.579475
2023-05-11 00:00:00+00:00,71.571014
2023-05-12 00:00:00+00:00,71.56261
2023-05-15 00:00:00+00:00,71.55426
2023-05-16 00:00:00+00:00,71.545975
2023-05-17 00:00:00+00:00,71.53775
2023-05-18 00:00:00+00:00,71.52958
2023-05-19 00:00:00+00:00,71.52148
2023-05-22 00:00:00+00:00,71.51343
2023-05-23 00:00:00+00:00,71.50544
2023-05-24 00:00:00+00:00,71.497505
2023-05-25 00:00:00+00:00,71.48963
2023-05-26 00:00:00+00:00,71.48182
2023-05-29 00:00:00+00:00,71.47406
2023-05-30 00:00:00+00:00,71.466354
2023-05-31 00:00:00+00:00,71.45871
2023-06-01 00:00:00+00:00,71.451126
2023-06-02 00:00:00+00:00,71.44359
2023-06-05 00:00:00+00:00,71.43611
2023-06-06 00:00:00+00:00,71.42869
2023-06-07 00:00:00+00:00,71.42132
2023-06-08 00:00:00+00:00,71.41401
2023-06-09 00:00:00+00:00,71.406746
2023-06-12 00:00:00+00:00,71.39954
2023-06-13 00:00:00+00:00,71.392395
2023-06-14 00:00:00+00:00,71.3853
2023-06-15 00:00:00+00:00,71.37825
2023-06-16 00:00:00+00:00,71.37127
2023-06-19 00:00:00+00:00,71.36433
2023-06-20 00:00:00+00:00,71.35744
2023-06-21 00:00:00+00:00,71.35061
2023-06-22 00:00:00+00:00,71.34383
2023-06-23 00:00:00+00:00,71.3371
2023-06-26 00:00:00+00:00,71.33042
2023-06-27 00:00:00+00:00,71.32379
2023-06-28 00:00:00+00:00,71.317215
2023-06-29 00:00:00+00:00,71.310684
2023-06-30 00:00:00+00:00,71.30421
2023-07-03 00:00:00+00:00,71.29778
2023-07-04 00:00:00+00:00,71.291405
2023-07-05 00:00:00+00:00,71.28507
2023-07-06 00:00:00+00:00,71.27879
2023-07-07 00:00:00+00:00,71.27256
2023-07-10 00:00:00+00:00,71.26638
2023-07-11 00:00:00+00:00,71.26024
2023-07-12 00:00:00+00:00,71.25415
2023-07-13 00:00:00+00:00,71.24811
2023-07-14 00:00:00+00:00,71.24212
2023-07-17 00:00:00+00:00,71.23617
2023-07-18 00:00:00+00:00,71.23026
2023-07-19 00:00:00+00:00,71.22441
2023-07-20 00:00:00+00:00,71.2186
2023-07-21 00:00:00+00:00,71.21284
2023-07-24 00:00:00+00:00,71.207115
2023-07-25 00:00:00+00:00,71.20145
2023-07-26 00:00:00+00:00,71.195816
2023-07-27 00:00:00+00:00,71.19022
2023-07-28 00:00:00+00:00,71.184685
2023-07-31 00:00:00+00:00,71.17919
2023-08-01 00:00:00+00:00,71.17374
2023-08-02 00:00:00+00:00,71.16832
2023-08-03 00:00:00+00:00,71.16296
2023-08-04 00:00:00+00:00,71.15763
2023-08-07 00:00:00+00:00,71.15234
2023-08-08 00:00:00+00:00,71.1471
2023-08-09 00:00:00+00:00,71.14191
2023-08-10 00:00:00+00:00,71.13674
2023-08-11 00:00:00+00:00,71.13163
2023-08-14 00:00:00+00:00,71.12655
2023-08-15 00:00:00+00:00,71.12151
2023-08-16 00:00:00+00:00,71.11652
2023-08-17 00:00:00+00:00,71.111565
2023-08-18 00:00:00+00:00,71.10665
2023-08-21 00:00:00+00:00,71.101776
2023-08-22 00:00:00+00:00,71.09694
2023-08-23 00:00:00+00:00,71.09214
2023-08-24 00:00:00+00:00,71.08739
2023-08-25 00:00:00+00:00,71.082664
2023-08-28 00:00:00+00:00,71.07798
2023-08-29 00:00:00+00:00,71.07334
2023-08-30 00:00:00+00:00,71.068726
2023-08-31 00:00:00+00:00,71.06416
2023-09-01 00:00:00+00:00,71.05963
2023-09-04 00:00:00+00:00,71.05513
2023-09-05 00:00:00+00:00,71.050674
2023-09-06 00:00:00+00:00,71.04626
2023-09-07 00:00:00+00:00,71.04187
2023-09-08 00:00:00+00:00,71.03751
2023-09-11 00:00:00+00:00,71.0332
2023-09-12 00:00:00+00:00,71.02892
2023-09-13 00:00:00+00:00,71.02468
2023-09-14 00:00:00+00:00,71.02047
2023-09-15 00:00:00+00:00,71.0163
2023-09-18 00:00:00+00:00,71.01215
2023-09-19 00:00:00+00:00,71.00805
2023-09-20 00:00:00+00:00,71.003975
2023-09-21 00:00:00+00:00,70.99993
2023-09-22 00:00:00+00:00,70.995926
2023-09-25 00:00:00+00:00,70.99195
2023-09-26 00:00:00+00:00,70.988014
2023-09-27 00:00:00+00:00,70.98411
2023-09-28 00:00:00+00:00,70.98023
2023-09-29 00:00:00+00:00,70.97639
2023-10-02 00:00:00+00:00,70.97258
2023-10-03 00:00:00+00:00,70.9688
2023-10-04 00:00:00+00:00,70.96505
2023-10-05 00:00:00+00:00,70.961334
2023-10-06 00:00:00+00:00,70.95765
2023-10-09 00:00:00+00:00,70.953995
2023-10-10 00:00:00+00:00,70.95037
2023-10-11 00:00:00+00:00,70.94678
2023-10-12 00:00:00+00:00,70.943214
2023-10-13 00:00:00+00:00,70.939674
2023-10-16 00:00:00+00:00,70.93617
2023-10-17 00:00:00+00:00,70.93269
2023-10-18 00:00:00+00:00,70.92925
2023-10-19 00:00:00+00:00,70.92583
2023-10-20 00:00:00+00:00,70.92244
2023-10-23 00:00:00+00:00,70.91908
2023-10-24 00:00:00+00:00,70.91575
2023-10-25 00:00:00+00:00,70.912445
2023-10-26 00:00:00+00:00,70.90917
2023-10-27 00:00:00+00:00,70.90592
2023-10-30 00:00:00+00:00,70.902695
2023-10-31 00:00:00+00:00,70.899506
2023-11-01 00:00:00+00:00,70.89634
2023-11-02 00:00:00+00:00,70.893196
2023-11-03 00:00:00+00:00,70.89008
2023-11-06 00:00:00+00:00,70.887
2023-11-07 00:00:00+00:00,70.883934
2023-11-08 00:00:00+00:00,70.880905
2023-11-09 00:00:00+00:00,70.87789
2023-11-10 00:00:00+00:00,70.87491
2023-11-13 00:00:00+00:00,70.87195
2023-11-14 00:00:00+00:00,70.86902
2023-11-15 00:00:00+00:00,70.86611
2023-11-16 00:00:00+00:00,70.86323
2023-11-17 00:00:00+00:00,70.86037
2023-11-20 00:00:00+00:00,70.85753
2023-11-21 00:00:00+00:00,70.85472
2023-11-22 00:00:00+00:00,70.85194
2023-11-23 00:00:00+00:00,70.849174
2023-11-24 00:00:00+00:00,70.846436
2023-11-27 00:00:00+00:00,70.84371
2023-11-28 00:00:00+00:00,70.84103
2023-11-29 00:00:00+00:00,70.838356
2023-11-30 00:00:00+00:00,70.83571
2023-12-01 00:00:00+00:00,70.833084
2023-12-04 00:00:00+00:00,70.83048
2023-12-05 00:00:00+00:00,70.8279
2023-12-06 00:00:00+00:00,70.82535
2023-12-07 00:00:00+00:00,70.822815
2023-12-08 00:00:00+00:00,70.8203
2023-12-11 00:00:00+00:00,70.81781
2023-12-12 00:00:00+00:00,70.81534
2023-12-13 00:00:00+00:00,70.81289
2023-12-14 00:00:00+00:00,70.81046
2023-12-15 00:00:00+00:00,70.80806
2023-12-18 00:00:00+00:00,70.80567
2023-12-19 00:00:00+00:00,70.80331
2023-12-20 00:00:00+00:00,70.80096
2023-12-21 00:00:00+00:00,70.79864
2023-12-22 00:00:00+00:00,70.79633
2023-12-25 00:00:00+00:00,70.79405
2023-12-26 00:00:00+00:00,70.79178
2023-12-27 00:00:00+00:00,70.78954
2023-12-28 00:00:00+00:00,70.78731
2023-12-29 00:00:00+00:00,70.7851
2024-01-01 00:00:00+00:00,70.78292
2024-01-02 00:00:00+00:00,70.780754
2024-01-03 00:00:00+00:00,70.7786
2024-01-04 00:00:00+00:00,70.776474
2024-01-05 00:00:00+00:00,70.77436
2024-01-08 00:00:00+00:00,70.77227
2024-01-09 00:00:00+00:00,70.77019
2024-01-10 00:00:00+00:00,70.768135
2024-01-11 00:00:00+00:00,70.7661
2024-01-12 00:00:00+00:00,70.76408
2024-01-15 00:00:00+00:00,70.76207
2024-01-16 00:00:00+00:00,70.76008
2024-01-17 00:00:00+00:00,70.75811
2024-01-18 00:00:00+00:00,70.756165
2024-01-19 00:00:00+00:00,70.75423
2024-01-22 00:00:00+00:00,70.75231
2024-01-23 00:00:00+00:00,70.750404
2024-01-24 00:00:00+00:00,70.74852
2024-01-25 00:00:00+00:00,70.74665
2024-01-26 00:00:00+00:00,70.7448
2024-01-29 00:00:00+00:00,70.742966
2024-01-30 00:00:00+00:00,70.74115
2024-01-31 00:00:00+00:00,70.73934
2024-02-01 00:00:00+00:00,70.73756
2024-02-02 00:00:00+00:00,70.73578
2024-02-05 00:00:00+00:00,70.734024
2024-02-06 00:00:00+00:00,70.732285
2024-02-07 00:00:00+00:00,70.73056
2024-02-08 00:00:00+00:00,70.72885
2024-02-09 00:00:00+00:00,70.72716
2024-02-12 00:00:00+00:00,70.72547
2024-02-13 00:00:00+00:00,70.72381
2024-02-14 00:00:00+00:00,70.72215
2024-02-15 00:00:00+00:00,70.72052
2024-02-16 00:00:00+00:00,70.718895
2024-02-19 00:00:00+00:00,70.717285
2024-02-20 00:00:00+00:00,70.7157
2024-02-21 00:00:00+00:00,70.71411
2024-02-22 00:00:00+00:00,70.71255
2024-02-23 00:00:00+00:00,70.711
2024-02-26 00:00:00+00:00,70.70946
2024-02-27 00:00:00+00:00,70.70793
2024-02-28 00:00:00+00:00,70.70642
